county,fips,cand,st,pct_report,votes,total_votes,lead,pct,state.name
NA,US,Ryan Scott,US,1,749,135691978,Donald Trump,5.519854681460978e-6,NA
NA,US,Bradford Lyttle,US,1,382,135691978,Donald Trump,2.8151995838692837e-6,NA
NA,US,Jerry White,US,1,370,135691978,Donald Trump,2.726763994847212e-6,NA
NA,US,Frank Atwood,US,1,337,135691978,Donald Trump,2.483566125036515e-6,NA
NA,CA,Hillary Clinton,CA,1,8753788,14060856,Hillary Clinton,0.6225643730367483,California
NA,CA,Donald Trump,CA,1,4483810,14060856,Hillary Clinton,0.3188859910093667,California
NA,CA,Gary Johnson,CA,1,478500,14060856,Hillary Clinton,0.03403064507594701,California
NA,CA,Jill Stein,CA,1,278657,14060856,Hillary Clinton,0.019817925736526992,California
NA,CA,Gloria La Riva,CA,1,66101,14060856,Hillary Clinton,0.004701065141411021,California
NA,FL,Donald Trump,FL,1,4617886,9419886,Donald Trump,0.4902273764247253,Florida
NA,FL,Hillary Clinton,FL,1,4504975,9419886,Donald Trump,0.47824092563328263,Florida
NA,FL,Gary Johnson,FL,1,207043,9419886,Donald Trump,0.021979353041002833,Florida
NA,FL,Jill Stein,FL,1,64399,9419886,Donald Trump,0.006836494624244922,Florida
NA,FL,Darrell Castle,FL,1,16475,9419886,Donald Trump,0.0017489595946277906,Florida
NA,FL,Rocky De La Fuente,FL,1,9108,9419886,Donald Trump,9.668906821165352e-4,Florida
NA,TX,Donald Trump,TX,1,4685047,8917965,Donald Trump,0.5253493369843905,Texas
NA,TX,Hillary Clinton,TX,1,3877868,8917965,Donald Trump,0.43483776848193506,Texas
NA,TX,Gary Johnson,TX,1,283492,8917965,Donald Trump,0.031788866630447644,Texas
NA,TX,Jill Stein,TX,1,71558,8917965,Donald Trump,0.008024027903226802,Texas
NA,NY,Hillary Clinton,NY,1,4556124,7660190,Hillary Clinton,0.5947795028582842,New York
NA,NY,Donald Trump,NY,1,2819534,7660190,Hillary Clinton,0.3680762487614537,New York
NA,NY,Gary Johnson,NY,1,176598,7660190,Hillary Clinton,0.023053997355156987,New York
NA,NY,Jill Stein,NY,1,107934,7660190,Hillary Clinton,0.014090251025105121,New York
NA,PA,Donald Trump,PA,1,2970733,6115402,Donald Trump,0.4857788580374602,Pennsylvania
NA,PA,Hillary Clinton,PA,1,2926441,6115402,Donald Trump,0.4785361616456285,Pennsylvania
NA,PA,Gary Johnson,PA,1,146715,6115402,Donald Trump,0.023991063874459928,Pennsylvania
NA,PA,Jill Stein,PA,1,49941,6115402,Donald Trump,0.008166429614929648,Pennsylvania
NA,PA,Darrell Castle,PA,1,21572,6115402,Donald Trump,0.003527486827521723,Pennsylvania
NA,IL,Hillary Clinton,IL,1,3090729,5523142,Hillary Clinton,0.5595961501623532,Illinois
NA,IL,Donald Trump,IL,1,2146015,5523142,Hillary Clinton,0.3885496697350892,Illinois
NA,IL,Gary Johnson,IL,1,209596,5523142,Hillary Clinton,0.03794868935109762,Illinois
NA,IL,Jill Stein,IL,1,76802,5523142,Hillary Clinton,0.013905490751459948,Illinois
NA,OH,Donald Trump,OH,1,2841005,5480173,Donald Trump,0.5184152033156617,Ohio
NA,OH,Hillary Clinton,OH,1,2394164,5480173,Donald Trump,0.4368774489418491,Ohio
NA,OH,Gary Johnson,OH,1,174498,5480173,Donald Trump,0.0318416955085177,Ohio
NA,OH,Jill Stein,OH,1,46271,5480173,Donald Trump,0.00844334658778108,Ohio
NA,OH,Richard Duncan,OH,1,24235,5480173,Donald Trump,0.0044223056461903665,Ohio
NA,MI,Donald Trump,MI,1,2279543,4790329,Donald Trump,0.4758635575969834,Michigan
NA,MI,Hillary Clinton,MI,1,2268839,4790329,Donald Trump,0.4736290555408616,Michigan
NA,MI,Gary Johnson,MI,1,172136,4790329,Donald Trump,0.035934066324045805,Michigan
NA,MI,Jill Stein,MI,1,51463,4790329,Donald Trump,0.010743103448635783,Michigan
NA,MI,Darrell Castle,MI,1,16139,4790329,Donald Trump,0.0033690796602905563,Michigan
NA,MI,Emidio Soltysik,MI,1,2209,4790329,Donald Trump,4.6113742918283903e-4,Michigan
NA,NC,Donald Trump,NC,1,2362631,4682073,Donald Trump,0.504612166448494,North Carolina
NA,NC,Hillary Clinton,NC,1,2189316,4682073,Donald Trump,0.4675954433004355,North Carolina
NA,NC,Gary Johnson,NC,1,130126,4682073,Donald Trump,0.02779239025107041,North Carolina
NA,GA,Donald Trump,GA,1,2089104,4092373,Donald Trump,0.5104871916611706,Georgia
NA,GA,Hillary Clinton,GA,1,1877963,4092373,Donald Trump,0.4588934097649457,Georgia
NA,GA,Gary Johnson,GA,1,125306,4092373,Donald Trump,0.030619398573883662,Georgia
NA,VA,Hillary Clinton,VA,1,1981473,3950882,Hillary Clinton,0.501526747698362,Virginia
NA,VA,Donald Trump,VA,1,1769443,3950882,Hillary Clinton,0.44786024993912754,Virginia
NA,VA,Gary Johnson,VA,1,118274,3950882,Hillary Clinton,0.029936100344176313,Virginia
NA,VA,Evan McMullin,VA,1,54054,3950882,Hillary Clinton,0.013681502003856354,Virginia
NA,VA,Jill Stein,VA,1,27638,3950882,Hillary Clinton,0.00699540001447778,Virginia
NA,NJ,Hillary Clinton,NJ,1,2148278,3874046,Hillary Clinton,0.554530844496942,New Jersey
NA,NJ,Donald Trump,NJ,1,1601933,3874046,Hillary Clinton,0.4135038665002945,New Jersey
NA,NJ,Gary Johnson,NJ,1,72477,3874046,Hillary Clinton,0.01870834781001568,New Jersey
NA,NJ,Jill Stein,NJ,1,37772,3874046,Hillary Clinton,0.009750013293595377,New Jersey
NA,NJ,Darrell Castle,NJ,1,6161,3874046,Hillary Clinton,0.0015903270121211776,New Jersey
NA,NJ,Alyson Kennedy,NJ,1,2156,3874046,Hillary Clinton,5.565241094194545e-4,New Jersey
NA,NJ,Rocky De La Fuente,NJ,1,1838,3874046,Hillary Clinton,4.744393845607409e-4,New Jersey
NA,NJ,Monica Moorehead,NJ,1,1749,3874046,Hillary Clinton,4.5146598672292485e-4,New Jersey
NA,NJ,Gloria La Riva,NJ,1,1682,3874046,Hillary Clinton,4.341714063281644e-4,New Jersey
Los Angeles County,6037,Hillary Clinton,CA,1,2464364,3421533,Hillary Clinton,0.7202514194660697,California
Los Angeles County,6037,Donald Trump,CA,1,769743,3421533,Hillary Clinton,0.22497021072133455,California
Los Angeles County,6037,Gary Johnson,CA,1,88968,3421533,Hillary Clinton,0.026002379635093394,California
Los Angeles County,6037,Jill Stein,CA,1,76465,3421533,Hillary Clinton,0.022348169665468667,California
Los Angeles County,6037,Gloria La Riva,CA,1,21993,3421533,Hillary Clinton,0.006427820512033641,California
NA,MA,Hillary Clinton,MA,1,1995196,3271768,Hillary Clinton,0.609821967816789,Massachusetts
NA,MA,Donald Trump,MA,1,1090893,3271768,Hillary Clinton,0.33342614757525596,Massachusetts
NA,MA,Gary Johnson,MA,1,138018,3271768,Hillary Clinton,0.04218453142154334,Massachusetts
NA,MA,Jill Stein,MA,1,47661,3271768,Hillary Clinton,0.01456735318641175,Massachusetts
NA,WA,Hillary Clinton,WA,1,1742718,3209214,Hillary Clinton,0.5430357713757948,Washington
NA,WA,Donald Trump,WA,1,1221747,3209214,Hillary Clinton,0.3806997601281809,Washington
NA,WA,Gary Johnson,WA,1,160879,3209214,Hillary Clinton,0.050130343442350685,Washington
NA,WA,Jill Stein,WA,1,58417,3209214,Hillary Clinton,0.018202899526176815,Washington
NA,WA,Darrell Castle,WA,1,17623,3209214,Hillary Clinton,0.005491375769892565,Washington
NA,WA,Alyson Kennedy,WA,1,4307,3209214,Hillary Clinton,0.0013420731680716836,Washington
NA,WA,Gloria La Riva,WA,1,3523,3209214,Hillary Clinton,0.0010977765895325148,Washington
NA,WI,Donald Trump,WI,1,1405284,2941000,Donald Trump,0.4778252295137708,Wisconsin
NA,WI,Hillary Clinton,WI,1,1382536,2941000,Donald Trump,0.4700904454267256,Wisconsin
NA,WI,Gary Johnson,WI,1,106674,2941000,Donald Trump,0.036271336280176814,Wisconsin
NA,WI,Jill Stein,WI,1,31072,2941000,Donald Trump,0.01056511390683441,Wisconsin
NA,WI,Darrell Castle,WI,1,12162,2941000,Donald Trump,0.004135328119687181,Wisconsin
NA,WI,Monica Moorehead,WI,1,1770,2941000,Donald Trump,6.0183611016661e-4,Wisconsin
NA,WI,Rocky De La Fuente,WI,1,1502,2941000,Donald Trump,5.107106426385583e-4,Wisconsin
NA,MN,Hillary Clinton,MN,1,1367716,2917550,Hillary Clinton,0.4687892238350671,Minnesota
NA,MN,Donald Trump,MN,1,1322951,2917550,Hillary Clinton,0.45344587067916575,Minnesota
NA,MN,Gary Johnson,MN,1,112972,2917550,Hillary Clinton,0.03872153005089887,Minnesota
NA,MN,Evan McMullin,MN,1,53076,2917550,Hillary Clinton,0.018191976144367707,Minnesota
NA,MN,Jill Stein,MN,1,36985,2917550,Hillary Clinton,0.012676732189679697,Minnesota
NA,MN,Dan Vacek,MN,1,11291,2917550,Hillary Clinton,0.003870027934397011,Minnesota
NA,MN,Darrell Castle,MN,1,9456,2917550,Hillary Clinton,0.003241075559973265,Minnesota
NA,MN,Alyson Kennedy,MN,1,1672,2917550,Hillary Clinton,5.730835804013642e-4,Minnesota
NA,MN,Rocky De La Fuente,MN,1,1431,2917550,Hillary Clinton,4.904800260492536e-4,Minnesota
NA,MO,Donald Trump,MO,1,1594511,2801449,Donald Trump,0.5691736669130868,Missouri
NA,MO,Hillary Clinton,MO,1,1071068,2801449,Donald Trump,0.38232643178583653,Missouri
NA,MO,Gary Johnson,MO,1,97359,2801449,Donald Trump,0.03475308670620097,Missouri
NA,MO,Jill Stein,MO,1,25419,2801449,Donald Trump,0.009073518739766457,Missouri
NA,MO,Darrell Castle,MO,1,13092,2801449,Donald Trump,0.0046732958551092664,Missouri
NA,CO,Hillary Clinton,CO,1,1338870,2780220,Hillary Clinton,0.48156980382847403,Colorado
NA,CO,Donald Trump,CO,1,1202484,2780220,Hillary Clinton,0.4325139737143104,Colorado
NA,CO,Gary Johnson,CO,1,144121,2780220,Hillary Clinton,0.05183798404442814,Colorado
NA,CO,Jill Stein,CO,1,38437,2780220,Hillary Clinton,0.013825164915006726,Colorado
NA,CO,Evan McMullin,CO,1,28917,2780220,Hillary Clinton,0.010400975462373481,Colorado
NA,CO,Darrell Castle,CO,1,11699,2780220,Hillary Clinton,0.004207940378818943,Colorado
NA,CO,Chris Keniston,CO,1,5028,2780220,Hillary Clinton,0.0018084899756134407,Colorado
NA,CO,Mike Smith,CO,1,1819,2780220,Hillary Clinton,6.542647704138522e-4,Colorado
NA,CO,Rocky De La Fuente,CO,1,1255,2780220,Hillary Clinton,4.5140312637129436e-4,Colorado
NA,CO,Kyle Kopitke,CO,1,1096,2780220,Hillary Clinton,3.9421340757206266e-4,Colorado
NA,CO,Joseph Maldonado,CO,1,872,2780220,Hillary Clinton,3.1364424398069217e-4,Colorado
NA,CO,Michael Maturen,CO,1,862,2780220,Hillary Clinton,3.1004740632036313e-4,Colorado
NA,CO,Rod Silva,CO,1,751,2780220,Hillary Clinton,2.701225082907108e-4,Colorado
NA,CO,Ryan Scott,CO,1,749,2780220,Hillary Clinton,2.69403140758645e-4,Colorado
NA,CO,Tom Hoefling,CO,1,710,2780220,Hillary Clinton,2.5537547388336176e-4,Colorado
NA,CO,Gloria La Riva,CO,1,531,2780220,Hillary Clinton,1.9099207976347197e-4,Colorado
NA,CO,Alyson Kennedy,CO,1,452,2780220,Hillary Clinton,1.6257706224687255e-4,Colorado
NA,CO,Laurence Kotlikoff,CO,1,392,2780220,Hillary Clinton,1.4099603628489832e-4,Colorado
NA,CO,Bradford Lyttle,CO,1,382,2780220,Hillary Clinton,1.3739919862456928e-4,Colorado
NA,CO,Frank Atwood,CO,1,337,2780220,Hillary Clinton,1.212134291530886e-4,Colorado
NA,CO,Emidio Soltysik,CO,1,271,2780220,Hillary Clinton,9.747430059491695e-5,Colorado
NA,CO,Jim Hedges,CO,1,185,2780220,Hillary Clinton,6.654149671608722e-5,Colorado
NA,MD,Hillary Clinton,MD,1,1677928,2736647,Hillary Clinton,0.6131327862161251,Maryland
NA,MD,Donald Trump,MD,1,943169,2736647,Hillary Clinton,0.34464401144904694,Maryland
NA,MD,Gary Johnson,MD,1,79605,2736647,Hillary Clinton,0.02908851598324519,Maryland
NA,MD,Jill Stein,MD,1,35945,2736647,Hillary Clinton,0.013134686351582794,Maryland
NA,IN,Donald Trump,IN,1,1557286,2724405,Donald Trump,0.5716059102813275,Indiana
NA,IN,Hillary Clinton,IN,1,1033126,2724405,Donald Trump,0.3792116076721339,Indiana
NA,IN,Gary Johnson,IN,1,133993,2724405,Donald Trump,0.0491824820465386,Indiana
NA,AZ,Donald Trump,AZ,1,1252401,2554240,Donald Trump,0.49032236594838385,Arizona
NA,AZ,Hillary Clinton,AZ,1,1161167,2554240,Donald Trump,0.4546037177399148,Arizona
NA,AZ,Gary Johnson,AZ,1,106327,2554240,Donald Trump,0.04162764657980456,Arizona
NA,AZ,Jill Stein,AZ,1,34345,2554240,Donald Trump,0.013446269731896767,Arizona
NA,TN,Donald Trump,TN,1,1522925,2494238,Donald Trump,0.6105772584653109,Tennessee
NA,TN,Hillary Clinton,TN,1,870695,2494238,Donald Trump,0.3490825654969574,Tennessee
NA,TN,Gary Johnson,TN,1,70397,2494238,Donald Trump,0.028223850330241138,Tennessee
NA,TN,Jill Stein,TN,1,15993,2494238,Donald Trump,0.006411978327649567,Tennessee
NA,TN,Mike Smith,TN,1,7276,2494238,Donald Trump,0.002917123385980007,Tennessee
NA,TN,Rocky De La Fuente,TN,1,4075,2494238,Donald Trump,0.0016337655027306938,Tennessee
NA,TN,Alyson Kennedy,TN,1,2877,2494238,Donald Trump,0.0011534584911303573,Tennessee
Cook County,17031,Hillary Clinton,IL,1,1611946,2156395,Hillary Clinton,0.7475188914832394,Illinois
Cook County,17031,Donald Trump,IL,1,453287,2156395,Hillary Clinton,0.21020592238434982,Illinois
Cook County,17031,Gary Johnson,IL,1,58678,2156395,Hillary Clinton,0.02721115565561968,Illinois
Cook County,17031,Jill Stein,IL,1,32484,2156395,Hillary Clinton,0.015064030476791127,Illinois
NA,SC,Donald Trump,SC,1,1155389,2103027,Donald Trump,0.5493933268569543,South Carolina
NA,SC,Hillary Clinton,SC,1,855373,2103027,Donald Trump,0.4067341978966509,South Carolina
NA,SC,Gary Johnson,SC,1,49204,2103027,Donald Trump,0.023396751444465524,South Carolina
NA,SC,Evan McMullin,SC,1,21016,2103027,Donald Trump,0.009993214542656847,South Carolina
NA,SC,Jill Stein,SC,1,13034,2103027,Donald Trump,0.006197733077131202,South Carolina
NA,SC,Darrell Castle,SC,1,5765,2103027,Donald Trump,0.002741286726228432,South Carolina
NA,SC,Peter Skewes,SC,1,3246,2103027,Donald Trump,0.0015434894559128343,South Carolina
NA,AL,Donald Trump,AL,1,1318255,2101660,Donald Trump,0.6272446542257073,Alabama
NA,AL,Hillary Clinton,AL,1,729547,2101660,Donald Trump,0.34712893617426227,Alabama
NA,AL,Gary Johnson,AL,1,44467,2101660,Donald Trump,0.02115803698029177,Alabama
NA,AL,Jill Stein,AL,1,9391,2101660,Donald Trump,0.004468372619738683,Alabama
NA,LA,Donald Trump,LA,1,1178638,2029032,Donald Trump,0.580886846535688,Louisiana
NA,LA,Hillary Clinton,LA,1,780154,2029032,Donald Trump,0.3844956609851397,Louisiana
NA,LA,Gary Johnson,LA,1,37978,2029032,Donald Trump,0.018717299677875953,Louisiana
NA,LA,Jill Stein,LA,1,14031,2029032,Donald Trump,0.006915120116390476,Louisiana
NA,LA,Evan McMullin,LA,1,8547,2029032,Donald Trump,0.0042123534769289,Louisiana
NA,LA,Darrell Castle,LA,1,3129,2029032,Donald Trump,0.0015421146635439954,Louisiana
NA,LA,Chris Keniston,LA,1,1881,2029032,Donald Trump,9.270430431851248e-4,Louisiana
NA,LA,Tom Hoefling,LA,1,1581,2029032,Donald Trump,7.791892882911655e-4,Louisiana
NA,LA,Laurence Kotlikoff,LA,1,1048,2029032,Donald Trump,5.165024504295645e-4,Louisiana
NA,LA,Princess Jacob,LA,1,749,2029032,Donald Trump,3.691415413852517e-4,Louisiana
NA,LA,Alyson Kennedy,LA,1,480,2029032,Donald Trump,2.3656600783033486e-4,Louisiana
NA,LA,Gloria La Riva,LA,1,446,2029032,Donald Trump,2.198092489423528e-4,Louisiana
NA,LA,Jerry White,LA,1,370,2029032,Donald Trump,1.8235296436921645e-4,Louisiana
NA,OR,Hillary Clinton,OR,1,1002106,1928742,Hillary Clinton,0.5195645659191328,Oregon
NA,OR,Donald Trump,OR,1,782403,1928742,Hillary Clinton,0.4056545665516694,Oregon
NA,OR,Gary Johnson,OR,1,94231,1928742,Hillary Clinton,0.048856197459276565,Oregon
NA,OR,Jill Stein,OR,1,50002,1928742,Hillary Clinton,0.025924670069921222,Oregon
NA,KY,Donald Trump,KY,1,1202971,1923398,Donald Trump,0.6254404964547119,Kentucky
NA,KY,Hillary Clinton,KY,1,628854,1923398,Donald Trump,0.3269494925127301,Kentucky
NA,KY,Gary Johnson,KY,1,53752,1923398,Donald Trump,0.027946374073384708,Kentucky
NA,KY,Evan McMullin,KY,1,22780,1923398,Donald Trump,0.011843622588772579,Kentucky
NA,KY,Jill Stein,KY,1,13913,1923398,Donald Trump,0.007233552286110311,Kentucky
NA,KY,Rocky De La Fuente,KY,1,1128,1923398,Donald Trump,5.864620842904068e-4,Kentucky
NA,CT,Hillary Clinton,CT,1,897572,1642304,Hillary Clinton,0.5465321889248276,Connecticut
NA,CT,Donald Trump,CT,1,673215,1642304,Hillary Clinton,0.40992106211761037,Connecticut
NA,CT,Gary Johnson,CT,1,48676,1642304,Hillary Clinton,0.029638848836756167,Connecticut
NA,CT,Jill Stein,CT,1,22841,1642304,Hillary Clinton,0.013907900120805892,Connecticut
NA,IA,Donald Trump,IA,1,800983,1548285,Donald Trump,0.5173356326516113,Iowa
NA,IA,Hillary Clinton,IA,1,653669,1548285,Donald Trump,0.42218906725828903,Iowa
NA,IA,Gary Johnson,IA,1,59186,1548285,Donald Trump,0.03822681224709921,Iowa
NA,IA,Evan McMullin,IA,1,12366,1548285,Donald Trump,0.007986901636326645,Iowa
NA,IA,Jill Stein,IA,1,11479,1548285,Donald Trump,0.0074140096945975705,Iowa
NA,IA,Darrell Castle,IA,1,5335,1548285,Donald Trump,0.0034457480373445456,Iowa
NA,IA,Lynn Kahn,IA,1,2247,1548285,Donald Trump,0.0014512831939856034,Iowa
NA,IA,Dan Vacek,IA,1,2246,1548285,Donald Trump,0.0014506373180648265,Iowa
NA,IA,Rocky De La Fuente,IA,1,451,1548285,Donald Trump,2.9129004027036363e-4,Iowa
NA,IA,Gloria La Riva,IA,1,323,1548285,Donald Trump,2.0861792241092563e-4,Iowa
Maricopa County,4013,Donald Trump,AZ,1,747361,1536743,Donald Trump,0.486327902583581,Arizona
Maricopa County,4013,Hillary Clinton,AZ,1,702907,1536743,Donald Trump,0.45740048921647924,Arizona
Maricopa County,4013,Gary Johnson,AZ,1,67043,1536743,Donald Trump,0.04362668318645343,Arizona
Maricopa County,4013,Jill Stein,AZ,1,19432,1536743,Donald Trump,0.012644925013486314,Arizona
NA,OK,Donald Trump,OK,1,949136,1452992,Donald Trump,0.6532286481962736,Oklahoma
NA,OK,Hillary Clinton,OK,1,420375,1452992,Donald Trump,0.2893168028454389,Oklahoma
NA,OK,Gary Johnson,OK,1,83481,1452992,Donald Trump,0.05745454895828745,Oklahoma
Harris County,48201,Hillary Clinton,TX,1,707914,1305434,Hillary Clinton,0.542282489961193,Texas
Harris County,48201,Donald Trump,TX,1,545955,1305434,Hillary Clinton,0.4182172365665365,Texas
Harris County,48201,Gary Johnson,TX,1,39781,1305434,Hillary Clinton,0.030473390458652064,Texas
Harris County,48201,Jill Stein,TX,1,11784,1305434,Hillary Clinton,0.00902688301361846,Texas
San Diego County,6073,Hillary Clinton,CA,1,735476,1291078,Hillary Clinton,0.5696603923233143,California
San Diego County,6073,Donald Trump,CA,1,477766,1291078,Hillary Clinton,0.37005200305481156,California
San Diego County,6073,Gary Johnson,CA,1,51663,1291078,Hillary Clinton,0.040015397985249536,California
San Diego County,6073,Jill Stein,CA,1,22820,1291078,Hillary Clinton,0.017675152082213468,California
San Diego County,6073,Gloria La Riva,CA,1,3353,1291078,Hillary Clinton,0.00259705455441112,California
NA,MS,Donald Trump,MS,1,700714,1209357,Donald Trump,0.5794103808883564,Mississippi
NA,MS,Hillary Clinton,MS,1,485131,1209357,Donald Trump,0.40114788271784096,Mississippi
NA,MS,Gary Johnson,MS,1,14435,1209357,Donald Trump,0.011936094966167972,Mississippi
NA,MS,Darrell Castle,MS,1,3987,1209357,Donald Trump,0.003296793254597278,Mississippi
NA,MS,Jill Stein,MS,1,3731,1209357,Donald Trump,0.0030851105174071842,Mississippi
NA,MS,Jim Hedges,MS,1,715,1209357,Donald Trump,5.912232698863941e-4,Mississippi
NA,MS,Rocky De La Fuente,MS,1,644,1209357,Donald Trump,5.325143857438291e-4,Mississippi
Orange County,6059,Hillary Clinton,CA,1,609961,1186203,Hillary Clinton,0.5142129972694387,California
Orange County,6059,Donald Trump,CA,1,507148,1186203,Hillary Clinton,0.42753896255531304,California
Orange County,6059,Gary Johnson,CA,1,46128,1186203,Hillary Clinton,0.03888710448380252,California
Orange County,6059,Jill Stein,CA,1,18068,1186203,Hillary Clinton,0.015231794220719387,California
Orange County,6059,Gloria La Riva,CA,1,4898,1186203,Hillary Clinton,0.004129141470726343,California
NA,KS,Donald Trump,KS,1,671018,1176935,Donald Trump,0.5701402371413884,Kansas
NA,KS,Hillary Clinton,KS,1,427005,1176935,Donald Trump,0.362811030345771,Kansas
NA,KS,Gary Johnson,KS,1,55406,1176935,Donald Trump,0.04707651654509382,Kansas
NA,KS,Jill Stein,KS,1,23506,1176935,Donald Trump,0.01997221596774673,Kansas
NA,UT,Donald Trump,UT,1,515231,1131375,Donald Trump,0.4554024969616617,Utah
NA,UT,Hillary Clinton,UT,1,310676,1131375,Donald Trump,0.27460037564909956,Utah
NA,UT,Evan McMullin,UT,1,243690,1131375,Donald Trump,0.21539277427908518,Utah
NA,UT,Gary Johnson,UT,1,39608,1131375,Donald Trump,0.035008728317313005,Utah
NA,UT,Jill Stein,UT,1,9438,1131375,Donald Trump,0.008342061650646337,Utah
NA,UT,Darrell Castle,UT,1,8032,1131375,Donald Trump,0.007099326041321401,Utah
NA,UT,Rocky Giordani,UT,1,2752,1131375,Donald Trump,0.002432438404596177,Utah
NA,UT,Rocky De La Fuente,UT,1,883,1131375,Donald Trump,7.804662468235554e-4,Utah
NA,UT,Monica Moorehead,UT,1,544,1131375,Donald Trump,4.808308474201746e-4,Utah
NA,UT,Alyson Kennedy,UT,1,521,1131375,Donald Trump,4.6050160203292453e-4,Utah
NA,AR,Donald Trump,AR,1,684872,1130635,Donald Trump,0.6057410216382829,Arkansas
NA,AR,Hillary Clinton,AR,1,380494,1130635,Donald Trump,0.33653124129360934,Arkansas
NA,AR,Gary Johnson,AR,1,29829,1130635,Donald Trump,0.026382519557593742,Arkansas
NA,AR,Evan McMullin,AR,1,13255,1130635,Donald Trump,0.011723500510774918,Arkansas
NA,AR,Jill Stein,AR,1,9473,1130635,Donald Trump,0.008378477581182256,Arkansas
NA,AR,Jim Hedges,AR,1,4709,1130635,Donald Trump,0.004164916175423545,Arkansas
NA,AR,Darrell Castle,AR,1,4613,1130635,Donald Trump,0.004080008137020347,Arkansas
NA,AR,Lynn Kahn,AR,1,3390,1130635,Donald Trump,0.0029983151061129367,Arkansas
NA,NV,Hillary Clinton,NV,1,539260,1125385,Hillary Clinton,0.4791782367811904,Nevada
NA,NV,Donald Trump,NV,1,512058,1125385,Hillary Clinton,0.4550069531760242,Nevada
NA,NV,Gary Johnson,NV,1,37384,1125385,Hillary Clinton,0.03321885399218934,Nevada
NA,NV, None of these candidates,NV,1,28863,1125385,Hillary Clinton,0.025647222950368097,Nevada
NA,NV,Darrell Castle,NV,1,5268,1125385,Hillary Clinton,0.0046810647023018785,Nevada
NA,NV,Rocky De La Fuente,NV,1,2552,1125385,Hillary Clinton,0.0022676683979260433,Nevada
King County,53033,Hillary Clinton,WA,1,718322,998499,Hillary Clinton,0.7194018221350247,Washington
King County,53033,Donald Trump,WA,1,216339,998499,Hillary Clinton,0.21666421298368851,Washington
King County,53033,Gary Johnson,WA,1,40861,998499,Hillary Clinton,0.040922424559263454,Washington
King County,53033,Jill Stein,WA,1,17704,998499,Hillary Clinton,0.017730613651090285,Washington
King County,53033,Darrell Castle,WA,1,3092,998499,Hillary Clinton,0.0030966480687511957,Washington
King County,53033,Alyson Kennedy,WA,1,1109,998499,Hillary Clinton,0.0011106671113341126,Washington
King County,53033,Gloria La Riva,WA,1,1072,998499,Hillary Clinton,0.0010736114908477625,Washington
Miami-Dade County,12086,Hillary Clinton,FL,1,624146,980204,Hillary Clinton,0.636751125275963,Florida
Miami-Dade County,12086,Donald Trump,FL,1,333999,980204,Hillary Clinton,0.3407443756605768,Florida
